predicted distance,tag transx,tag transy,tag transz,tag rotx,tag roty,tag rotz,tag rotw,home transx,home transy,home transz,home rotx,home roty,home rotz,home rotw
0.8249999881,-0.9230033254,0.6249442413,0.7753842944,-0.0001486175,-0.0027116971,-0.000847321,0.9999959533,-1.8857750655,0.6323668108,0.8496094661,-0.0005315803,-0.0019526136,-0.0089906527,0.9999575355
0.8249999881,-0.9229913485,0.6246863842,0.7753702931,7.84829248996994E-05,-0.0027331649,-0.0008518237,0.999995899,-1.8858027125,0.632370301,0.8496079753,-0.0005281545,-0.0021613905,-0.0089500556,0.9999574721
0.8439999819,-0.9229937177,0.6246484832,0.7753666148,6.64244784023928E-05,-0.0027073213,-0.0008909975,0.9999959361,-1.8857680903,0.6323821471,0.8496062083,-0.0006657922,-0.0019775667,-0.0088865982,0.9999583363
0.8529999852,-0.9230319378,0.6248649379,0.7753836653,-0.000200892,-0.0028641938,-0.0008197184,0.999995542,-1.8858091744,0.6323834355,0.849609489,-0.0005764398,-0.0020846663,-0.0089033751,0.999958025
0.871999979,-0.9230181944,0.6249271907,0.7754065332,-0.0004769791,-0.0028341398,-0.0009580172,0.9999954112,-1.8857998687,0.6324095313,0.8496244102,-0.0006996331,-0.0020092886,-0.008864406,0.9999584469
0.8489999771,-0.9229904662,0.6247148154,0.7753579909,0.000178369,-0.0027465038,-0.000918048,0.999995791,-1.8857895641,0.6323832222,0.8496228884,-0.0005752587,-0.0020593488,-0.0088565855,0.9999584937
0.8909999728,-0.9229822299,0.6246938171,0.7753849785,-5.95088989871609E-05,-0.0026512546,-0.000836513,0.9999961338,-1.8857906427,0.6323987003,0.8496429573,-0.0006338528,-0.0020912079,-0.0088541974,0.9999584133
0.8389999866,-0.9229939225,0.6248922891,0.7753927244,-0.0002313876,-0.0026499235,-0.000893351,0.9999960631,-1.8857903741,0.6323789495,0.8496581302,-0.0005248466,-0.002095924,-0.0089003673,0.9999580567
0.8809999824,-0.9230091219,0.6248728663,0.7753992674,-0.000284045,-0.002736863,-0.0008538364,0.9999958499,-1.8857838708,0.6323839352,0.8496184223,-0.0006194521,-0.0020764551,-0.0088960399,0.9999580817
0.8999999762,-0.9229982747,0.6246950145,0.7753722259,8.42249058543128E-05,-0.0027909637,-0.0008035885,0.9999957788,-1.8858093272,0.6323940474,0.849623835,-0.0006055362,-0.0020516438,-0.0088303304,0.9999587238
0.8859999776,-0.9229796154,0.6246900622,0.7753511133,-3.37906435341824E-05,-0.0024243133,-0.0009047219,0.9999966515,-1.8857808649,0.6323937811,0.8496337295,-0.0006850886,-0.0019776856,-0.0088655797,0.9999585096
