actual dist,angle,var
2.5-2.75,0.4-0.6,0.000910736390357
2.5-2.75,0.2-0.4,0.000818639099636
2.5-2.75,0.2-0.4,0.000845223030605
2.5-2.75,0.0-0.2,0.000858446424589
2.5-2.75,0.0-0.2,0.00124313295923
2.5-2.75,0.0-0.2,0.00105071942854
2.75-3.0,0.0-0.2,0.00046934013209
2.75-3.0,0.0-0.2,0.000187921239838
2.75-3.0,0.2-0.4,0.000569702072814
2.75-3.0,0.4-0.6,0.000698874440928
2.75-3.0,0.4-0.6,0.00141050025043
2.75-3.0,0.6-0.8,0.00119375583019
2.75-3.0,0.6-0.8,0.000368627474335
2.75-3.0,0.8-1.0,0.000416581895797
2.75-3.0,0.8-1.0,0.000353652586847
2.75-3.0,1.0-1.2,0.000337626568747
2.75-3.0,1.0-1.2,0.000475678406217
2.75-3.0,1.2-1.4,0.00051097972549
2.75-3.0,1.2-1.4,0.000760954756543
2.75-3.0,1.2-1.4,0.000512928200802
2.75-3.0,1.4-1.6,0.000545917841858
2.75-3.0,1.4-1.6,0.000242716240358
2.75-3.0,1.4-1.6,8.6499865332e-05
2.75-3.0,1.2-1.4,0.000454692362983
2.75-3.0,1.2-1.4,0.000630489837029
2.75-3.0,1.0-1.2,0.000666063021778
2.5-2.75,1.0-1.2,0.000923223142573
2.5-2.75,1.0-1.2,0.00061508998606
2.5-2.75,0.8-1.0,0.000527597198086
2.5-2.75,0.6-0.8,0.00137545578077
2.5-2.75,0.6-0.8,0.00105508057151
2.5-2.75,0.6-0.8,0.000771641837814
2.5-2.75,0.4-0.6,0.000863728259037
2.5-2.75,0.4-0.6,0.000346901593015
2.5-2.75,0.4-0.6,0.000671269712699
2.5-2.75,0.2-0.4,0.000475018802354
2.5-2.75,0.2-0.4,0.000645739124812
2.5-2.75,0.0-0.2,0.000309552085493
2.5-2.75,0.0-0.2,0.000403567614468
2.5-2.75,0.0-0.2,0.000636265021844
2.5-2.75,0.0-0.2,0.000478981922797
2.75-3.0,0.0-0.2,0.00175507320894
2.75-3.0,0.0-0.2,0.00145601721673
2.75-3.0,0.2-0.4,0.0012455285086
2.75-3.0,0.4-0.6,0.00163685715764
2.75-3.0,0.6-0.8,0.00204683696742
2.75-3.0,0.6-0.8,0.00236777716203
2.75-3.0,0.8-1.0,0.00112816666994
2.75-3.0,0.8-1.0,0.000505141885701
2.75-3.0,1.0-1.2,0.000321960077119
2.75-3.0,1.0-1.2,0.000383926895688
2.75-3.0,1.2-1.4,0.000318249450734
2.75-3.0,1.2-1.4,0.0002709085028
2.75-3.0,1.4-1.6,0.000217006492665
2.75-3.0,1.4-1.6,0.000306898901932
2.75-3.0,1.4-1.6,0.000538001032454
2.75-3.0,1.4-1.6,0.000744492198033
2.75-3.0,1.4-1.6,0.000789060441091
2.75-3.0,1.2-1.4,0.000961424602554
2.75-3.0,1.2-1.4,0.000826247317626
2.75-3.0,1.0-1.2,0.000725292452801
2.75-3.0,1.0-1.2,0.00068657967278
2.75-3.0,0.8-1.0,0.000540681424825
2.75-3.0,0.8-1.0,0.000199666670337
2.75-3.0,0.6-0.8,0.000178877585129
2.75-3.0,0.6-0.8,0.000302517722465
2.75-3.0,0.6-0.8,0.000652844831391
2.75-3.0,0.4-0.6,0.00166567400864
2.75-3.0,0.4-0.6,0.00296735760747
2.75-3.0,0.2-0.4,0.00242015303913
2.75-3.0,0.2-0.4,0.00235431888144
2.75-3.0,0.0-0.2,0.00204911848845
2.75-3.0,0.0-0.2,0.001999305065
2.75-3.0,0.0-0.2,0.00235775083163
2.75-3.0,0.0-0.2,0.000414156493976
2.75-3.0,0.0-0.2,0.000664651053326
2.75-3.0,0.2-0.4,0.00077428904187
2.75-3.0,0.2-0.4,0.00030365874821
2.75-3.0,0.4-0.6,0.00040607937391
2.75-3.0,0.6-0.8,0.000598400932311
2.75-3.0,0.6-0.8,0.000562657122479
2.75-3.0,0.6-0.8,0.00129130588463
